web-scraper-order,web-scraper-start-url,product_name,price,product_discount
"1705465253-85","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Keriting Goreng Special 90G","Rp 4.500",""
"1705465253-86","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Soto Lamongan 80G","Rp 3.000",""
"1705465253-87","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mi Instan Soto Mie 70G","Rp 3.000",""
"1705465253-88","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Goreng Ayam Pop 85G","Rp 3.100",""
"1705465253-89","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Goreng Jumbo Rendang 120G","Rp 4.200",""
"1705465253-90","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Goreng Kebab Rendang 83G","Rp 3.100",""
"1705465253-91","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Goreng Premium Japanese Takoyaki 91G","Rp 5.900",""
"1705465253-92","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Instant Khas Kal-Sel Soto Bnjar Kuit 75G","Rp 3.100",""
"1705465253-93","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Instant Premium Japanese Shoyu Ramen 82G","Rp 5.900",""
"1705465253-94","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Instant Premium Japanese Tori Kara Ramen 89G","Rp 5.900",""
"1705465253-95","https://www.klikindomaret.com/category/Makanan-Instan","Indomie Mie Instant Premium Japanese Tori Miso Ramen 86G","Rp 5.900",""
"1705465253-96","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Fettuccine 225G","Rp 10.000",""
"1705465253-97","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Lasagna 230G","Rp 23.000",""
"1705465253-98","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Macaroni Elbow 225G","Rp 8.000",""
"1705465253-99","https://www.klikindomaret.com/category/Makanan-Instan","La Fonte Pasta Sauce Chkn Bolognese 290G","Rp 19.900",""
